"t","T","alpha","beta","dbeta_dt","dalpha_dt","sign_beta"
25950,52.41,0.6475,0.00220000000000013,-2.84494650060196e-18,-1e-04,1
26000,52.52,0.6425,0.00219999999999999,0,-0.000102,1
26050,52.63,0.6374,0.00219999999999999,0,-0.000102,1
26100,52.74,0.6323,0.00219999999999999,0,-0.000105999999999999,1
26150,52.85,0.627,0.00219999999999999,0,-0.000107999999999999,1
26200,52.96,0.6216,0.00219999999999999,0,-0.000110000000000001,1
26250,53.07,0.6161,0.00219999999999999,0,-0.000109999999999999,1
26300,53.18,0.6106,0.00219999999999999,-3.9999999999992e-06,-0.000114000000000001,1
26350,53.29,0.6049,0.00200000000000003,3.9999999999992e-06,-0.000116000000000001,1
26400,53.39,0.5991,0.00219999999999999,0,-0.000115999999999998,1
26450,53.5,0.5933,0.00219999999999999,-3.9999999999992e-06,-0.00012,1
26500,53.61,0.5873,0.00200000000000003,0,-0.00012,1
26550,53.71,0.5813,0.00200000000000003,3.9999999999992e-06,-0.000124000000000002,1
26600,53.81,0.5751,0.00219999999999999,-3.9999999999992e-06,-0.000125999999999999,1
26650,53.92,0.5688,0.00200000000000003,-2.83627288322208e-18,-0.000125999999999999,1
26700,54.02,0.5625,0.00199999999999989,4.00000000000204e-06,-0.000129999999999999,1
26750,54.12,0.556,0.00219999999999999,-3.9999999999992e-06,-0.000132000000000001,1
26800,54.23,0.5494,0.00200000000000003,0,-0.000132000000000001,1
26850,54.33,0.5428,0.00200000000000003,0,-0.000135999999999998,1
26900,54.43,0.536,0.00200000000000003,0,-0.000138,1
26950,54.53,0.5291,0.00200000000000003,-2.83627288322208e-18,-0.00014,1
27000,54.63,0.5221,0.00199999999999989,2.83627288322208e-18,-0.000144,1
27050,54.73,0.5149,0.00200000000000003,3.9999999999992e-06,-0.000144,1
27100,54.83,0.5077,0.00219999999999999,-3.9999999999992e-06,-0.000146000000000002,1
27150,54.94,0.5004,0.00200000000000003,0,-0.000147999999999999,1
27200,55.04,0.493,0.00200000000000003,0,-0.000152,1
27250,55.14,0.4854,0.00200000000000003,0,-0.000152,1
27300,55.24,0.4778,0.00200000000000003,-2.83627288322208e-18,-0.000156000000000001,1
27350,55.34,0.47,0.00199999999999989,2.83627288322208e-18,-0.000157999999999999,1
27400,55.44,0.4621,0.00200000000000003,0,-0.000158,1
27450,55.54,0.4542,0.00200000000000003,0,-0.000162,1
27500,55.64,0.4461,0.00200000000000003,0,-0.000164,1
27550,55.74,0.4379,0.00200000000000003,-2.83627288322208e-18,-0.000168,1
27600,55.84,0.4295,0.00199999999999989,2.83627288322208e-18,-0.000168,1
27650,55.94,0.4211,0.00200000000000003,0,-0.000169999999999999,1
27700,56.04,0.4126,0.00200000000000003,0,-0.000174000000000001,1
27750,56.14,0.4039,0.00200000000000003,0,-0.000175999999999999,1
27800,56.24,0.3951,0.00200000000000003,-2.83627288322208e-18,-0.000176000000000001,1
27850,56.34,0.3863,0.00199999999999989,2.83627288322208e-18,-0.000179999999999999,1
27900,56.44,0.3773,0.00200000000000003,3.9999999999992e-06,-0.000184000000000001,1
27950,56.54,0.3681,0.00219999999999999,-3.9999999999992e-06,-0.000184,1
28000,56.65,0.3589,0.00200000000000003,0,-0.000186,1
28050,56.75,0.3496,0.00200000000000003,0,-0.00019,1
28100,56.85,0.3401,0.00200000000000003,3.9999999999992e-06,-0.000192,1
28150,56.95,0.3305,0.00219999999999999,-4.00000000000204e-06,-0.000194000000000001,1
28200,57.06,0.3208,0.00199999999999989,2.83627288322208e-18,-0.000196,1
28250,57.16,0.311,0.00200000000000003,3.9999999999992e-06,-0.000198,1
28300,57.26,0.3011,0.00219999999999999,-3.9999999999992e-06,-0.000202,1
28350,57.37,0.291,0.00200000000000003,3.9999999999992e-06,-0.000204,1
28400,57.47,0.2808,0.00219999999999999,0,-0.000206,1
28450,57.58,0.2705,0.00219999999999999,-3.9999999999992e-06,-0.000208,1
28500,57.69,0.2601,0.00200000000000003,3.9999999999992e-06,-0.000212,1
28550,57.79,0.2495,0.00219999999999999,0,-0.000212,1
28600,57.9,0.2389,0.00219999999999999,0,-0.000218,1
28650,58.01,0.228,0.00219999999999999,0,-0.000218,1
28700,58.12,0.2171,0.00219999999999999,2.84494650060196e-18,-0.000224,1
28750,58.23,0.2059,0.00220000000000013,3.99999999999637e-06,-0.000226,1
28800,58.34,0.1946,0.00239999999999995,-3.99999999999921e-06,-0.00023,1
28850,58.46,0.1831,0.00219999999999999,3.99999999999921e-06,-0.000236,1
28900,58.57,0.1713,0.00239999999999995,4.00000000000204e-06,-0.000244,1
28950,58.69,0.1591,0.00260000000000005,-4.00000000000204e-06,-0.00025,1
29000,58.82,0.1466,0.00239999999999995,8.00000000000124e-06,-0.000258,1
29050,58.94,0.1337,0.00280000000000001,0,-0.000272,1
29100,59.08,0.1201,0.00280000000000001,8.00000000000125e-06,-0.000286,1
29150,59.22,0.1058,0.00320000000000007,3.99999999999636e-06,-0.000304,1
29200,59.38,0.0906,0.00339999999999989,1.60000000000025e-05,-0.000322,1
29250,59.55,0.0745,0.00420000000000002,1.59999999999997e-05,-0.000338,1
29300,59.76,0.0576,0.005,3.20000000000022e-05,-0.000348,1
29350,60.01,0.0402,0.00660000000000011,5.19999999999953e-05,-0.00034,1
29400,60.34,0.0232,0.00919999999999987,7.60000000000048e-05,-0.000282,1
29450,60.8,0.0091,0.0130000000000001,1.59999999999968e-05,-0.000146,1
29500,61.45,0.00180000000000002,0.0138,-3.19999999999993e-05,-3.20000000000008e-05,1
29550,62.14,0.000199999999999978,0.0122,-3.19999999999993e-05,-3.99999999999956e-06,1
29600,62.75,0,0.0106,-2.00000000000017e-05,0,1
29650,63.28,0,0.00959999999999994,-1.99999999999988e-05,0,1
29700,63.76,0,0.00859999999999999,-8.00000000000127e-06,0,1
29750,64.19,0,0.00819999999999993,-1.59999999999968e-05,0,1
29800,64.6,0,0.00740000000000009,-1.20000000000004e-05,0,1
29850,64.97,0,0.00680000000000007,-8.0000000000041e-06,0,1
29900,65.31,0,0.00639999999999986,-7.99999999999272e-06,0,1
29950,65.63,0,0.00600000000000023,-8.00000000000977e-06,0,1
30000,65.93,0,0.00559999999999974,-7.99999999999274e-06,0,1
30050,66.21,0,0.0052000000000001,-4.00000000000204e-06,0,1
30100,66.47,0,0.005,-1.20000000000005e-05,0,1
30150,66.72,0,0.00439999999999998,-3.99999999999635e-06,0,1
30200,66.94,0,0.00420000000000016,-4.00000000000773e-06,0,1
30250,67.15,0,0.00399999999999977,-7.99999999999273e-06,0,1
30300,67.35,0,0.00360000000000014,-4.00000000000205e-06,0,1
30350,67.53,0,0.00340000000000003,-4.00000000000205e-06,0,1
30400,67.7,0,0.00319999999999993,-3.99999999999636e-06,0,1
30450,67.86,0,0.00300000000000011,-4.00000000000205e-06,0,1
30500,68.01,0,0.00280000000000001,-4.00000000000204e-06,0,1
30550,68.15,0,0.00259999999999991,-3.99999999999637e-06,0,1
30600,68.28,0,0.00240000000000009,-5.68121938382404e-18,0,1
30650,68.4,0,0.00239999999999981,-7.99999999999273e-06,0,1
30700,68.52,0,0.00200000000000017,-5.68121938382404e-18,0,1
30750,68.62,0,0.00199999999999989,0,0,1
30800,68.72,0,0.00199999999999989,-3.99999999999636e-06,0,1
30850,68.82,0,0.00180000000000007,-4.00000000000205e-06,0,1
30900,68.91,0,0.00159999999999997,0,0,1
30950,68.99,0,0.00159999999999997,-3.99999999999636e-06,0,1
